query acc.ver,subject acc.ver,%_identity,alignment_length,mismatches,gap_opens,q.start,q.end,s.start,s.end,evalue,bit_score
Query_60438,MN908947.3,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MN908947.3,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MN908947.3,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MN985325.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MN985325.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MN985325.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MN975262.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MN975262.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MN975262.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MN938384.1,100,24,0,0,1,24,28277,28300,2.30E-06,48.1
Query_60438,MN938384.1,100,10,0,0,8,17,7481,7472,520,20.3
Query_60438,MN938384.1,100,10,0,0,7,16,15011,15002,520,20.3
Query_60438,MN988713.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MN988713.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MN988713.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MN997409.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MN997409.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MN997409.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MN994468.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MN994468.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MN994468.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MN994467.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MN994467.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MN994467.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MN988669.1,100,24,0,0,1,24,28308,28331,2.30E-06,48.1
Query_60438,MN988669.1,100,10,0,0,8,17,7512,7503,520,20.3
Query_60438,MN988669.1,100,10,0,0,7,16,15042,15033,520,20.3
Query_60438,MN988668.1,100,24,0,0,1,24,28308,28331,2.30E-06,48.1
Query_60438,MN988668.1,100,10,0,0,8,17,7512,7503,520,20.3
Query_60438,MN988668.1,100,10,0,0,7,16,15042,15033,520,20.3
Query_60438,MN996531.1,100,24,0,0,1,24,28296,28319,2.30E-06,48.1
Query_60438,MN996531.1,100,10,0,0,8,17,7500,7491,520,20.3
Query_60438,MN996531.1,100,10,0,0,7,16,15030,15021,520,20.3
Query_60438,MN996530.1,100,24,0,0,1,24,28295,28318,2.30E-06,48.1
Query_60438,MN996530.1,100,10,0,0,8,17,7499,7490,520,20.3
Query_60438,MN996530.1,100,10,0,0,7,16,15029,15020,520,20.3
Query_60438,MN996529.1,100,24,0,0,1,24,28297,28320,2.30E-06,48.1
Query_60438,MN996529.1,100,10,0,0,8,17,7501,7492,520,20.3
Query_60438,MN996529.1,100,10,0,0,7,16,15031,15022,520,20.3
Query_60438,MN996528.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MN996528.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MN996528.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MN996527.1,100,24,0,0,1,24,28276,28299,2.30E-06,48.1
Query_60438,MN996527.1,100,10,0,0,8,17,7480,7471,520,20.3
Query_60438,MN996527.1,100,10,0,0,7,16,15010,15001,520,20.3
Query_60438,MT007544.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MT007544.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MT007544.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MT020881.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MT020881.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MT020881.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MT020880.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MT020880.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MT020880.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MT019533.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MT019533.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MT019533.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MT019532.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MT019532.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MT019532.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MT019531.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MT019531.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MT019531.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MT019530.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MT019530.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MT019530.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MT019529.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MT019529.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MT019529.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MT027064.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MT027064.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MT027064.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MT027063.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MT027063.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MT027063.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MT027062.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MT027062.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MT027062.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MT039890.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MT039890.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MT039890.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MT039888.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MT039888.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MT039888.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MT039887.1,100,24,0,0,1,24,28306,28329,2.30E-06,48.1
Query_60438,MT039887.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MT039887.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MT039873.1,100,24,0,0,1,24,28306,28329,2.30E-06,48.1
Query_60438,MT039873.1,100,10,0,0,8,17,7510,7501,520,20.3
Query_60438,MT039873.1,100,10,0,0,7,16,15040,15031,520,20.3
Query_60438,MT049951.1,100,24,0,0,1,24,28309,28332,2.30E-06,48.1
Query_60438,MT049951.1,100,10,0,0,8,17,7513,7504,520,20.3
Query_60438,MT049951.1,100,10,0,0,7,16,15043,15034,520,20.3
Query_60438,MT044258.1,100,24,0,0,1,24,28285,28308,2.30E-06,48.1
Query_60438,MT044258.1,100,10,0,0,8,17,7489,7480,520,20.3
Query_60438,MT044258.1,100,10,0,0,7,16,15019,15010,520,20.3
