query acc.ver,subject acc.ver,%_identity,alignment_length,mismatches,gap_opens,q.start,q.end,s.start,s.end,evalue,bit_score
Query_48216,MN908947.3,100,23,0,0,1,23,29188,29210,8.08E-06,46.1
Query_48216,MN908947.3,100,10,0,0,1,10,26627,26636,463,20.3
Query_48216,MN985325.1,100,23,0,0,1,23,29188,29210,8.08E-06,46.1
Query_48216,MN985325.1,100,10,0,0,1,10,26627,26636,463,20.3
Query_48216,MN975262.1,100,23,0,0,1,23,29188,29210,8.08E-06,46.1
Query_48216,MN975262.1,100,10,0,0,1,10,26627,26636,463,20.3
Query_48216,MN938384.1,100,23,0,0,1,23,29156,29178,8.08E-06,46.1
Query_48216,MN938384.1,100,10,0,0,1,10,26595,26604,463,20.3
Query_48216,MN988713.1,100,23,0,0,1,23,29188,29210,8.08E-06,46.1
Query_48216,MN988713.1,100,10,0,0,1,10,26627,26636,463,20.3
Query_48216,MN997409.1,100,23,0,0,1,23,29188,29210,8.08E-06,46.1
Query_48216,MN997409.1,100,10,0,0,1,10,26627,26636,463,20.3
Query_48216,MN994468.1,100,23,0,0,1,23,29188,29210,8.08E-06,46.1
Query_48216,MN994468.1,100,10,0,0,1,10,26627,26636,463,20.3
Query_48216,MN994467.1,100,23,0,0,1,23,29188,29210,8.08E-06,46.1
Query_48216,MN994467.1,100,10,0,0,1,10,26627,26636,463,20.3
Query_48216,MN988669.1,100,23,0,0,1,23,29187,29209,8.08E-06,46.1
Query_48216,MN988669.1,100,10,0,0,1,10,26626,26635,463,20.3
Query_48216,MN988668.1,100,23,0,0,1,23,29187,29209,8.08E-06,46.1
Query_48216,MN988668.1,100,10,0,0,1,10,26626,26635,463,20.3
Query_48216,MN996531.1,100,23,0,0,1,23,29175,29197,8.08E-06,46.1
Query_48216,MN996531.1,100,10,0,0,1,10,26614,26623,463,20.3
Query_48216,MN996530.1,100,23,0,0,1,23,29174,29196,8.08E-06,46.1
Query_48216,MN996530.1,100,10,0,0,1,10,26613,26622,463,20.3
Query_48216,MN996529.1,100,23,0,0,1,23,29176,29198,8.08E-06,46.1
Query_48216,MN996529.1,100,10,0,0,1,10,26615,26624,463,20.3
Query_48216,MN996528.1,100,23,0,0,1,23,29188,29210,8.08E-06,46.1
Query_48216,MN996528.1,100,10,0,0,1,10,26627,26636,463,20.3
Query_48216,MN996527.1,100,23,0,0,1,23,29155,29177,8.08E-06,46.1
Query_48216,MN996527.1,100,10,0,0,1,10,26594,26603,463,20.3
