query acc.ver,subject acc.ver,%_identity,alignment_length,mismatches,gap_opens,q.start,q.end,s.start,s.end,evalue,bit_score
Query_4290,MN908947.3,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MN908947.3,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MN908947.3,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MN908947.3,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MN985325.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MN985325.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MN985325.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MN985325.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MN975262.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MN975262.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MN975262.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MN975262.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MN938384.1,100,20,0,0,1,20,29132,29151,3.74E-04,40.1
Query_4290,MN938384.1,100,11,0,0,6,16,15520,15510,88,22.3
Query_4290,MN938384.1,100,10,0,0,5,14,3423,3414,347,20.3
Query_4290,MN938384.1,100,10,0,0,3,12,21538,21529,347,20.3
Query_4290,MN988713.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MN988713.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MN988713.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MN988713.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MN997409.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MN997409.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MN997409.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MN997409.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MN994468.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MN994468.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MN994468.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MN994468.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MN994467.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MN994467.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MN994467.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MN994467.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MN988669.1,100,20,0,0,1,20,29163,29182,3.74E-04,40.1
Query_4290,MN988669.1,100,11,0,0,6,16,15551,15541,88,22.3
Query_4290,MN988669.1,100,10,0,0,5,14,3454,3445,347,20.3
Query_4290,MN988669.1,100,10,0,0,3,12,21569,21560,347,20.3
Query_4290,MN988668.1,100,20,0,0,1,20,29163,29182,3.74E-04,40.1
Query_4290,MN988668.1,100,11,0,0,6,16,15551,15541,88,22.3
Query_4290,MN988668.1,100,10,0,0,5,14,3454,3445,347,20.3
Query_4290,MN988668.1,100,10,0,0,3,12,21569,21560,347,20.3
Query_4290,MN996531.1,100,20,0,0,1,20,29151,29170,3.74E-04,40.1
Query_4290,MN996531.1,100,11,0,0,6,16,15539,15529,88,22.3
Query_4290,MN996531.1,100,10,0,0,5,14,3442,3433,347,20.3
Query_4290,MN996531.1,100,10,0,0,3,12,21557,21548,347,20.3
Query_4290,MN996530.1,100,20,0,0,1,20,29150,29169,3.74E-04,40.1
Query_4290,MN996530.1,100,11,0,0,6,16,15538,15528,88,22.3
Query_4290,MN996530.1,100,10,0,0,5,14,3441,3432,347,20.3
Query_4290,MN996530.1,100,10,0,0,3,12,21556,21547,347,20.3
Query_4290,MN996529.1,100,20,0,0,1,20,29152,29171,3.74E-04,40.1
Query_4290,MN996529.1,100,11,0,0,6,16,15540,15530,88,22.3
Query_4290,MN996529.1,100,10,0,0,5,14,3443,3434,347,20.3
Query_4290,MN996529.1,100,10,0,0,3,12,21558,21549,347,20.3
Query_4290,MN996528.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MN996528.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MN996528.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MN996528.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MN996527.1,100,20,0,0,1,20,29131,29150,3.74E-04,40.1
Query_4290,MN996527.1,100,11,0,0,6,16,15519,15509,88,22.3
Query_4290,MN996527.1,100,10,0,0,5,14,3422,3413,347,20.3
Query_4290,MN996527.1,100,10,0,0,3,12,21537,21528,347,20.3
Query_4290,MT007544.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MT007544.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT007544.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT007544.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MT020881.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MT020881.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT020881.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT020881.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MT020880.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MT020880.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT020880.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT020880.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MT019533.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MT019533.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT019533.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT019533.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MT019532.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MT019532.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT019532.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT019532.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MT019531.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MT019531.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT019531.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT019531.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MT019530.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MT019530.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT019530.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT019530.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MT019529.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MT019529.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT019529.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT019529.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MT027064.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MT027064.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT027064.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT027064.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MT027063.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MT027063.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT027063.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT027063.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MT027062.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MT027062.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT027062.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT027062.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MT039890.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MT039890.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT039890.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT039890.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MT039888.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MT039888.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT039888.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT039888.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MT039887.1,100,20,0,0,1,20,29161,29180,3.74E-04,40.1
Query_4290,MT039887.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT039887.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT039887.1,100,10,0,0,3,12,21567,21558,347,20.3
Query_4290,MT039873.1,100,20,0,0,1,20,29161,29180,3.74E-04,40.1
Query_4290,MT039873.1,100,11,0,0,6,16,15549,15539,88,22.3
Query_4290,MT039873.1,100,10,0,0,5,14,3452,3443,347,20.3
Query_4290,MT039873.1,100,10,0,0,3,12,21567,21558,347,20.3
Query_4290,MT049951.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MT049951.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT049951.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT049951.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MT044258.1,100,20,0,0,1,20,29140,29159,3.74E-04,40.1
Query_4290,MT044258.1,100,11,0,0,6,16,15528,15518,88,22.3
Query_4290,MT044258.1,100,10,0,0,5,14,3431,3422,347,20.3
Query_4290,MT044258.1,100,10,0,0,3,12,21546,21537,347,20.3
Query_4290,MT044257.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MT044257.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT044257.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT044257.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MT066176.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MT066176.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT066176.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT066176.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MT066175.1,100,20,0,0,1,20,29164,29183,3.74E-04,40.1
Query_4290,MT066175.1,100,11,0,0,6,16,15552,15542,88,22.3
Query_4290,MT066175.1,100,10,0,0,5,14,3455,3446,347,20.3
Query_4290,MT066175.1,100,10,0,0,3,12,21570,21561,347,20.3
Query_4290,MT072688.1,100,20,0,0,1,20,29149,29168,3.74E-04,40.1
Query_4290,MT072688.1,100,11,0,0,6,16,15537,15527,88,22.3
