query acc.ver,subject acc.ver,%_identity,alignment_length,mismatches,gap_opens,q.start,q.end,s.start,s.end,evalue,bit_score
Query_55616,MN908947.3,100,20,0,0,1,20,28287,28306,3.74E-04,40.1
Query_55616,MN908947.3,100,11,0,0,6,16,7926,7936,88,22.3
Query_55616,MN908947.3,100,10,0,0,2,11,1345,1354,347,20.3
Query_55616,MN908947.3,100,10,0,0,6,15,8768,8759,347,20.3
Query_55616,MN985325.1,100,20,0,0,1,20,28287,28306,3.74E-04,40.1
Query_55616,MN985325.1,100,11,0,0,6,16,7926,7936,88,22.3
Query_55616,MN985325.1,100,10,0,0,2,11,1345,1354,347,20.3
Query_55616,MN985325.1,100,10,0,0,6,15,8768,8759,347,20.3
Query_55616,MN975262.1,100,20,0,0,1,20,28287,28306,3.74E-04,40.1
Query_55616,MN975262.1,100,11,0,0,6,16,7926,7936,88,22.3
Query_55616,MN975262.1,100,10,0,0,2,11,1345,1354,347,20.3
Query_55616,MN975262.1,100,10,0,0,6,15,8768,8759,347,20.3
Query_55616,MN938384.1,100,20,0,0,1,20,28255,28274,3.74E-04,40.1
Query_55616,MN938384.1,100,11,0,0,6,16,7894,7904,88,22.3
Query_55616,MN938384.1,100,10,0,0,2,11,1313,1322,347,20.3
Query_55616,MN938384.1,100,10,0,0,6,15,8736,8727,347,20.3
Query_55616,MN988713.1,100,20,0,0,1,20,28287,28306,3.74E-04,40.1
Query_55616,MN988713.1,100,11,0,0,6,16,7926,7936,88,22.3
Query_55616,MN988713.1,100,10,0,0,2,11,1345,1354,347,20.3
Query_55616,MN988713.1,100,10,0,0,6,15,8768,8759,347,20.3
Query_55616,MN997409.1,100,20,0,0,1,20,28287,28306,3.74E-04,40.1
Query_55616,MN997409.1,100,11,0,0,6,16,7926,7936,88,22.3
Query_55616,MN997409.1,100,10,0,0,2,11,1345,1354,347,20.3
Query_55616,MN997409.1,100,10,0,0,6,15,8768,8759,347,20.3
Query_55616,MN994468.1,100,20,0,0,1,20,28287,28306,3.74E-04,40.1
Query_55616,MN994468.1,100,11,0,0,6,16,7926,7936,88,22.3
Query_55616,MN994468.1,100,10,0,0,2,11,1345,1354,347,20.3
Query_55616,MN994468.1,100,10,0,0,6,15,8768,8759,347,20.3
Query_55616,MN994467.1,100,20,0,0,1,20,28287,28306,3.74E-04,40.1
Query_55616,MN994467.1,100,11,0,0,6,16,7926,7936,88,22.3
Query_55616,MN994467.1,100,10,0,0,2,11,1345,1354,347,20.3
Query_55616,MN994467.1,100,10,0,0,6,15,8768,8759,347,20.3
Query_55616,MN988669.1,100,20,0,0,1,20,28286,28305,3.74E-04,40.1
Query_55616,MN988669.1,100,11,0,0,6,16,7925,7935,88,22.3
Query_55616,MN988669.1,100,10,0,0,2,11,1344,1353,347,20.3
Query_55616,MN988669.1,100,10,0,0,6,15,8767,8758,347,20.3
Query_55616,MN988668.1,100,20,0,0,1,20,28286,28305,3.74E-04,40.1
Query_55616,MN988668.1,100,11,0,0,6,16,7925,7935,88,22.3
Query_55616,MN988668.1,100,10,0,0,2,11,1344,1353,347,20.3
Query_55616,MN988668.1,100,10,0,0,6,15,8767,8758,347,20.3
Query_55616,MN996531.1,100,20,0,0,1,20,28274,28293,3.74E-04,40.1
Query_55616,MN996531.1,100,11,0,0,6,16,7913,7923,88,22.3
Query_55616,MN996531.1,100,10,0,0,2,11,1332,1341,347,20.3
Query_55616,MN996531.1,100,10,0,0,6,15,8755,8746,347,20.3
Query_55616,MN996530.1,100,20,0,0,1,20,28273,28292,3.74E-04,40.1
Query_55616,MN996530.1,100,11,0,0,6,16,7912,7922,88,22.3
Query_55616,MN996530.1,100,10,0,0,2,11,1331,1340,347,20.3
Query_55616,MN996530.1,100,10,0,0,6,15,8754,8745,347,20.3
Query_55616,MN996529.1,100,20,0,0,1,20,28275,28294,3.74E-04,40.1
Query_55616,MN996529.1,100,11,0,0,6,16,7914,7924,88,22.3
Query_55616,MN996529.1,100,10,0,0,2,11,1333,1342,347,20.3
Query_55616,MN996529.1,100,10,0,0,6,15,8756,8747,347,20.3
Query_55616,MN996528.1,100,20,0,0,1,20,28287,28306,3.74E-04,40.1
Query_55616,MN996528.1,100,11,0,0,6,16,7926,7936,88,22.3
Query_55616,MN996528.1,100,10,0,0,2,11,1345,1354,347,20.3
Query_55616,MN996528.1,100,10,0,0,6,15,8768,8759,347,20.3
Query_55616,MN996527.1,100,20,0,0,1,20,28254,28273,3.74E-04,40.1
Query_55616,MN996527.1,100,11,0,0,6,16,7893,7903,88,22.3
Query_55616,MN996527.1,100,10,0,0,2,11,1312,1321,347,20.3
Query_55616,MN996527.1,100,10,0,0,6,15,8735,8726,347,20.3
Query_55616,MT007544.1,100,20,0,0,1,20,28287,28306,3.74E-04,40.1
Query_55616,MT007544.1,100,11,0,0,6,16,7926,7936,88,22.3
Query_55616,MT007544.1,100,10,0,0,2,11,1345,1354,347,20.3
