query acc.ver,subject acc.ver,%_identity,alignment_length,mismatches,gap_opens,q.start,q.end,s.start,s.end,evalue,bit_score
Query_8248,MN908947.3,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MN908947.3,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MN908947.3,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MN908947.3,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MN985325.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MN985325.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MN985325.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MN985325.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MN975262.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MN975262.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MN975262.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MN975262.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MN938384.1,100,24,0,0,1,24,28326,28303,2.30E-06,48.1
Query_8248,MN938384.1,100,11,0,0,14,24,3485,3495,132,22.3
Query_8248,MN938384.1,100,11,0,0,14,24,20956,20946,132,22.3
Query_8248,MN938384.1,100,10,0,0,13,22,23772,23763,520,20.3
Query_8248,MN988713.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MN988713.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MN988713.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MN988713.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MN997409.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MN997409.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MN997409.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MN997409.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MN994468.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MN994468.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MN994468.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MN994468.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MN994467.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MN994467.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MN994467.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MN994467.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MN988669.1,100,24,0,0,1,24,28357,28334,2.30E-06,48.1
Query_8248,MN988669.1,100,11,0,0,14,24,3516,3526,132,22.3
Query_8248,MN988669.1,100,11,0,0,14,24,20987,20977,132,22.3
Query_8248,MN988669.1,100,10,0,0,13,22,23803,23794,520,20.3
Query_8248,MN988668.1,100,24,0,0,1,24,28357,28334,2.30E-06,48.1
Query_8248,MN988668.1,100,11,0,0,14,24,3516,3526,132,22.3
Query_8248,MN988668.1,100,11,0,0,14,24,20987,20977,132,22.3
Query_8248,MN988668.1,100,10,0,0,13,22,23803,23794,520,20.3
Query_8248,MN996531.1,100,24,0,0,1,24,28345,28322,2.30E-06,48.1
Query_8248,MN996531.1,100,11,0,0,14,24,3504,3514,132,22.3
Query_8248,MN996531.1,100,11,0,0,14,24,20975,20965,132,22.3
Query_8248,MN996531.1,100,10,0,0,13,22,23791,23782,520,20.3
Query_8248,MN996530.1,100,24,0,0,1,24,28344,28321,2.30E-06,48.1
Query_8248,MN996530.1,100,11,0,0,14,24,3503,3513,132,22.3
Query_8248,MN996530.1,100,11,0,0,14,24,20974,20964,132,22.3
Query_8248,MN996530.1,100,10,0,0,13,22,23790,23781,520,20.3
Query_8248,MN996529.1,100,24,0,0,1,24,28346,28323,2.30E-06,48.1
Query_8248,MN996529.1,100,11,0,0,14,24,3505,3515,132,22.3
Query_8248,MN996529.1,100,11,0,0,14,24,20976,20966,132,22.3
Query_8248,MN996529.1,100,10,0,0,13,22,23792,23783,520,20.3
Query_8248,MN996528.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MN996528.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MN996528.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MN996528.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MN996527.1,100,24,0,0,1,24,28325,28302,2.30E-06,48.1
Query_8248,MN996527.1,100,11,0,0,14,24,3484,3494,132,22.3
Query_8248,MN996527.1,100,11,0,0,14,24,20955,20945,132,22.3
Query_8248,MN996527.1,100,10,0,0,13,22,23771,23762,520,20.3
Query_8248,MT007544.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT007544.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT007544.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT007544.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT020881.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT020881.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT020881.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT020881.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT020880.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT020880.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT020880.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT020880.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT019533.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT019533.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT019533.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT019533.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT019532.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT019532.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT019532.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT019532.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT019531.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT019531.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT019531.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT019531.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT019530.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT019530.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT019530.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT019530.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT019529.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT019529.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT019529.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT019529.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT027064.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT027064.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT027064.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT027064.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT027063.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT027063.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT027063.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT027063.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT027062.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT027062.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT027062.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT027062.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT039890.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT039890.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT039890.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT039890.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT039888.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT039888.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT039888.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT039887.1,100,24,0,0,1,24,28355,28332,2.30E-06,48.1
Query_8248,MT039887.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT039887.1,100,11,0,0,14,24,20985,20975,132,22.3
Query_8248,MT039887.1,100,10,0,0,13,22,23801,23792,520,20.3
Query_8248,MT039873.1,100,24,0,0,1,24,28355,28332,2.30E-06,48.1
Query_8248,MT039873.1,100,11,0,0,14,24,3514,3524,132,22.3
Query_8248,MT039873.1,100,11,0,0,14,24,20985,20975,132,22.3
Query_8248,MT039873.1,100,10,0,0,13,22,23801,23792,520,20.3
Query_8248,MT049951.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT049951.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT049951.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT049951.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT044258.1,100,24,0,0,1,24,28334,28311,2.30E-06,48.1
Query_8248,MT044258.1,100,11,0,0,14,24,3493,3503,132,22.3
Query_8248,MT044258.1,100,11,0,0,14,24,20964,20954,132,22.3
Query_8248,MT044258.1,100,10,0,0,13,22,23780,23771,520,20.3
Query_8248,MT044257.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT044257.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT044257.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT044257.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT066176.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT066176.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT066176.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT066176.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT066175.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT066175.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT066175.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT066175.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT072688.1,100,24,0,0,1,24,28343,28320,2.30E-06,48.1
Query_8248,MT072688.1,100,11,0,0,14,24,3502,3512,132,22.3
Query_8248,MT072688.1,100,11,0,0,14,24,20973,20963,132,22.3
Query_8248,MT072688.1,100,10,0,0,13,22,23789,23780,520,20.3
Query_8248,MT093631.2,100,24,0,0,1,24,28345,28322,2.30E-06,48.1
Query_8248,MT093631.2,100,11,0,0,14,24,3504,3514,132,22.3
Query_8248,MT093631.2,100,11,0,0,14,24,20975,20965,132,22.3
Query_8248,MT093631.2,100,10,0,0,13,22,23791,23782,520,20.3
Query_8248,MT093571.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT093571.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT093571.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT093571.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT106054.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT106054.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT106054.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT106054.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT106053.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT106053.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT106053.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT106053.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT106052.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT106052.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT106052.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT106052.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT118835.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT118835.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT118835.1,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT118835.1,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT123293.2,100,24,0,0,1,24,28352,28329,2.30E-06,48.1
Query_8248,MT123293.2,100,11,0,0,14,24,3511,3521,132,22.3
Query_8248,MT123293.2,100,11,0,0,14,24,20982,20972,132,22.3
Query_8248,MT123293.2,100,10,0,0,13,22,23798,23789,520,20.3
Query_8248,MT123292.2,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT123292.2,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT123292.2,100,11,0,0,14,24,20988,20978,132,22.3
Query_8248,MT123292.2,100,10,0,0,13,22,23804,23795,520,20.3
Query_8248,MT123291.2,100,24,0,0,1,24,28355,28332,2.30E-06,48.1
Query_8248,MT123291.2,100,11,0,0,14,24,3514,3524,132,22.3
Query_8248,MT123291.2,100,11,0,0,14,24,20985,20975,132,22.3
Query_8248,MT123291.2,100,10,0,0,13,22,23801,23792,520,20.3
Query_8248,MT123290.1,100,24,0,0,1,24,28361,28338,2.30E-06,48.1
Query_8248,MT123290.1,100,11,0,0,14,24,3520,3530,132,22.3
Query_8248,MT123290.1,100,11,0,0,14,24,20991,20981,132,22.3
Query_8248,MT123290.1,100,10,0,0,13,22,23807,23798,520,20.3
Query_8248,MT126808.1,100,24,0,0,1,24,28358,28335,2.30E-06,48.1
Query_8248,MT126808.1,100,11,0,0,14,24,3517,3527,132,22.3
Query_8248,MT126808.1,100,11,0,0,14,24,20988,20978,132,22.3
