query acc.ver,subject acc.ver,%_identity,alignment_length,mismatches,gap_opens,q.start,q.end,s.start,s.end,evalue,bit_score
Query_20284,MN908947.3,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MN908947.3,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MN985325.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MN985325.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MN975262.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MN975262.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MN938384.1,100,18,0,0,1,18,29198,29181,0.004,36.2
Query_20284,MN938384.1,100,9,0,0,3,11,20760,20752,914,18.3
Query_20284,MN988713.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MN988713.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MN997409.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MN997409.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MN994468.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MN994468.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MN994467.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MN994467.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MN988669.1,100,18,0,0,1,18,29229,29212,0.004,36.2
Query_20284,MN988669.1,100,9,0,0,3,11,20791,20783,914,18.3
Query_20284,MN988668.1,100,18,0,0,1,18,29229,29212,0.004,36.2
Query_20284,MN988668.1,100,9,0,0,3,11,20791,20783,914,18.3
Query_20284,MN996531.1,100,18,0,0,1,18,29217,29200,0.004,36.2
Query_20284,MN996531.1,100,9,0,0,3,11,20779,20771,914,18.3
Query_20284,MN996530.1,100,18,0,0,1,18,29216,29199,0.004,36.2
Query_20284,MN996530.1,100,9,0,0,3,11,20778,20770,914,18.3
Query_20284,MN996529.1,100,18,0,0,1,18,29218,29201,0.004,36.2
Query_20284,MN996529.1,100,9,0,0,3,11,20780,20772,914,18.3
Query_20284,MN996528.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MN996528.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MN996527.1,100,18,0,0,1,18,29197,29180,0.004,36.2
Query_20284,MN996527.1,100,9,0,0,3,11,20759,20751,914,18.3
Query_20284,MT007544.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MT007544.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MT020881.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MT020881.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MT020880.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MT020880.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MT019533.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MT019533.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MT019532.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MT019532.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MT019531.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MT019531.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MT019530.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MT019530.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MT019529.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MT019529.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MT027064.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MT027064.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MT027063.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MT027063.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MT027062.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MT027062.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MT039890.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MT039890.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MT039888.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MT039888.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MT039887.1,100,18,0,0,1,18,29227,29210,0.004,36.2
Query_20284,MT039887.1,100,9,0,0,3,11,20789,20781,914,18.3
Query_20284,MT039873.1,100,18,0,0,1,18,29227,29210,0.004,36.2
Query_20284,MT039873.1,100,9,0,0,3,11,20789,20781,914,18.3
Query_20284,MT049951.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MT049951.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MT044258.1,100,18,0,0,1,18,29206,29189,0.004,36.2
Query_20284,MT044258.1,100,9,0,0,3,11,20768,20760,914,18.3
Query_20284,MT044257.1,100,18,0,0,1,18,29230,29213,0.004,36.2
Query_20284,MT044257.1,100,9,0,0,3,11,20792,20784,914,18.3
Query_20284,MT066176.1,100,18,0,0,1,18,29230,29213,0.004,36.2
